age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
57.0,Federal-gov,60722,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,7688.0,0.0,45.0,United-States,1.0
18.0,Private,257405,HS-grad,9.0,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0.0,0.0,15.0,United-States,0.0
53.0,Private,32209,11th,7.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,43.22691625194771,United-States,0.0
44.0,Private,431245,HS-grad,9.0,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,40.0,United-States,0.0
28.0,Private,95082,5th-6th,3.0,Never-married,Farming-fishing,Unmarried,Black,Male,0.0,0.0,40.0,Mexico,0.0
61.0,Private,220986,9th,5.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,2051.0,40.0,United-States,0.0
45.0,Private,87771,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,0.0
52.0,Self-emp-not-inc,199233,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,60.0,United-States,0.0
57.0,Private,133515,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
40.0,Private,117310,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0.0
72.0,Self-emp-inc,163027,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2377.0,35.0,United-States,1.0
23.0,Private,169711,Bachelors,13.0,Never-married,Sales,Unmarried,White,Female,0.0,0.0,20.0,United-States,0.0
46.0,Private,91317,HS-grad,9.0,Separated,Sales,Not-in-family,White,Female,0.0,0.0,36.0,United-States,0.0
51.0,Private,106159,HS-grad,9.0,Divorced,Handlers-cleaners,Unmarried,White,Female,0.0,0.0,20.0,United-States,0.0
46.0,Private,177063,Some-college,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1.0
34.403668916773675,Private,175059,Assoc-acdm,12.0,Never-married,Craft-repair,Unmarried,White,Female,0.0,0.0,40.0,United-States,0.0
